"","X","X.1","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1."
"17","2020-02-07","三门峡",72.6666666666667,72.6666666666667,5.33333333333333,0.933333333333334,13.6666666666667,65,79.3333333333333,959,5.96666666666667,0.666666666666667,1.7921,1.73472347597681e-18,0,0,0
"18","2020-02-08","三门峡",71.6666666666667,65,5.33333333333333,0.966666666666667,16.3333333333333,63.6666666666667,92.6666666666667,961,3.33333333333333,-0.833333333333333,1.83926666666666,1.73472347597681e-18,0,0,0
"19","2020-02-09","三门峡",81.6666666666667,76.3333333333333,7,1.1,21,76.6666666666667,88.6666666666667,962.333333333333,1.4,0.833333333333333,1.97606666666666,1.73472347597681e-18,0,0,0
"20","2020-02-10","三门峡",77.6666666666667,78,8,1.16666666666667,25.6666666666667,84,69,960.666666666667,1.96666666666667,3.5,2.10556666666666,1.73472347597681e-18,0,0,0
"21","2020-02-11","三门峡",62,68.6666666666667,10,1.06666666666667,27,91.3333333333333,50,956.333333333333,2.46666666666667,6,2.23886666666666,1.73472347597681e-18,0,0,0
"22","2020-02-12","三门峡",57,64,11.3333333333333,1,24,95.3333333333333,41.3333333333333,951.333333333333,2.46666666666667,7.66666666666667,2.3776,1.73472347597681e-18,0,0,0
"23","2020-02-13","三门峡",63.3333333333333,66.3333333333333,11.6666666666667,0.966666666666667,18.6666666666667,104,52,948,2.46666666666667,9.5,2.4387,1.73472347597681e-18,0,0,0
"24","2020-02-14","三门峡",58,95.6666666666667,10,0.800000000000001,13.3333333333333,99.3333333333333,64.6666666666667,945.666666666667,3.03333333333333,10.8333333333333,2.43323333333333,1.73472347597681e-18,0,0,0
"25","2020-02-15","三门峡",39,84.3333333333333,7.66666666666667,0.633333333333334,11.3333333333333,90.3333333333333,55.6666666666667,950.333333333333,4.96666666666667,8.16666666666667,2.29553333333333,1.73472347597681e-18,0,0,0
"26","2020-02-16","三门峡",17.6666666666667,69.6666666666667,5.66666666666667,0.466666666666667,11.6666666666667,85.3333333333333,43.3333333333333,957,4.96666666666667,3.83333333333333,2.17023333333333,1.73472347597681e-18,0,0,0
"27","2020-02-17","三门峡",16.3333333333333,33.6666666666667,5.66666666666667,0.533333333333334,18,91,26,964,3.9,0,2.25313333333333,1.73472347597681e-18,0,0,0
"28","2020-02-18","三门峡",23.6666666666667,36,7,0.633333333333334,25,95,27,963.666666666667,2.46666666666667,0.833333333333333,2.46613333333333,1.73472347597681e-18,0,0,0
"29","2020-02-19","三门峡",33.6666666666667,43.6666666666667,9,0.733333333333334,31.3333333333333,102,28.3333333333333,960.333333333333,1.9,3.66666666666667,2.6484,1.73472347597681e-18,0,0,0
"30","2020-02-20","三门峡",46,59,10,0.766666666666667,28.3333333333333,98.3333333333333,34.6666666666667,957.666666666667,2.4,6.33333333333333,2.6845,1.73472347597681e-18,0,0,0
"31","2020-02-21","三门峡",49.6666666666667,88.3333333333333,8.66666666666667,0.733333333333334,25.3333333333333,97.3333333333333,56,958.333333333333,3.83333333333333,6.83333333333333,2.8294,1.73472347597681e-18,0,0,0
"32","2020-02-22","三门峡",50,112.666666666667,7.66666666666667,0.666666666666667,22.3333333333333,93,58,960.666666666667,3.83333333333333,6.66666666666667,3.02846666666666,1.73472347597681e-18,0,0,0
"33","2020-02-23","三门峡",47,118.666666666667,8,0.633333333333334,22,101.666666666667,57.3333333333333,961.666666666667,5.26666666666667,6.66666666666667,3.27163333333333,1.73472347597681e-18,0,0,0
"34","2020-02-24","三门峡",60.3333333333333,113,10.3333333333333,0.733333333333334,25.6666666666667,106,44,956.333333333333,5.26666666666667,9.33333333333333,3.48043333333333,1.73472347597681e-18,0,0,0
"35","2020-02-25","三门峡",90.6666666666667,118.333333333333,11,1,26.6666666666667,117,51.3333333333333,951.666666666667,5.26666666666667,10.6666666666667,3.6409,1.73472347597681e-18,0,0,0
"36","2020-02-26","三门峡",97.3333333333333,108,8.66666666666667,1.13333333333333,26.3333333333333,106.333333333333,63,950,4.4,11.8333333333333,3.64826666666666,1.73472347597681e-18,0,0,0
"37","2020-02-27","三门峡",81.3333333333333,79.6666666666667,5.66666666666667,1.13333333333333,22,91.3333333333333,79,953.666666666667,5.1,9.16666666666667,3.39966666666666,1.73472347597681e-18,0,0,0
"38","2020-02-28","三门峡",48.3333333333333,41.3333333333333,4,1,21.3333333333333,64.3333333333333,92.3333333333333,956,4.33333333333333,6.33333333333333,3.3426,1.73472347597681e-18,0,0,0
"39","2020-02-29","三门峡",42.3333333333333,37.3333333333333,4.66666666666667,1,26.3333333333333,50,100,954.333333333333,3.76666666666667,3.83333333333333,3.42063333333333,1.73472347597681e-18,0,0,0
"40","2020-03-01","三门峡",44.6666666666667,52,6.33333333333333,0.966666666666668,30,61,98.6666666666667,952,1.63333333333333,4,3.7252,1.73472347597681e-18,0,0,0
"41","2020-03-02","三门峡",53.6666666666667,61,6.66666666666667,0.966666666666668,28,67.6666666666667,91.3333333333333,952.333333333333,2.96666666666667,5.66666666666667,3.8224,1.73472347597681e-18,0,0,0
"42","2020-03-03","三门峡",46.3333333333333,60.3333333333333,7.33333333333333,0.833333333333334,27.6666666666667,83,91.3333333333333,954.666666666667,2.96666666666667,5.33333333333333,4.01756666666666,1.73472347597681e-18,0,0,0
"43","2020-03-04","三门峡",51.6666666666667,65,7.66666666666667,0.833333333333334,27,78,75.6666666666667,956.333333333333,3.53333333333333,5.16666666666667,4.14436666666666,1.73472347597681e-18,0,0,0
"44","2020-03-05","三门峡",51,70.6666666666667,9,0.733333333333334,29.6666666666667,90,67.6666666666667,956.666666666667,5.1,4.33333333333333,4.27536666666666,1.73472347597681e-18,0,0,0
"45","2020-03-06","三门峡",73.6666666666667,86,10,0.833333333333334,33,96,55.3333333333333,954.333333333333,5.66666666666667,5.5,4.34033333333333,1.73472347597681e-18,0,0,0
"46","2020-03-07","三门峡",85,96.6666666666667,10.6666666666667,0.866666666666667,35,114.666666666667,58,951,4.33333333333333,6.83333333333333,4.3786,1.73472347597681e-18,0,0,0
"47","2020-03-08","三门峡",100,111.333333333333,10.3333333333333,0.900000000000001,36,111.666666666667,56.3333333333333,947,3.63333333333333,9.5,4.3273,1.73472347597681e-18,0,0,0
"48","2020-03-09","三门峡",72.6666666666667,101.666666666667,9,0.700000000000001,26.3333333333333,106,61.3333333333333,947,4.5,10.6666666666667,4.34036666666666,1.73472347597681e-18,0,0,0
"49","2020-03-10","三门峡",52.3333333333333,105.333333333333,7.66666666666667,0.533333333333334,23.6666666666667,96.3333333333333,51.6666666666667,950,6.7,10,4.40523333333333,1.73472347597681e-18,0,0,0
"50","2020-03-11","三门峡",27.3333333333333,99,7.66666666666667,0.433333333333334,24,95.3333333333333,47.6666666666667,952.333333333333,5.83333333333333,8,4.5835,1.73472347597681e-18,0,0,0
"51","2020-03-12","三门峡",39,115.333333333333,9.66666666666667,0.533333333333334,38.3333333333333,87,36,951.666666666667,4.4,8.66666666666667,4.6221,1.73472347597681e-18,0,0,0
"52","2020-03-13","三门峡",42,113,10,0.566666666666667,42,84.3333333333333,37.6666666666667,951,2.2,9.83333333333333,4.659,1.73472347597681e-18,0,0,0
"53","2020-03-14","三门峡",39.6666666666667,109,9,0.533333333333334,46.3333333333333,88.6666666666667,39.3333333333333,953.333333333333,0.866666666666667,10,4.6307,1.73472347597681e-18,0,0,0
"54","2020-03-15","三门峡",32,95,7.66666666666667,0.533333333333334,44.6666666666667,99,34,956,0.866666666666667,8.66666666666667,4.63376666666666,1.73472347597681e-18,0,0,0
"55","2020-03-16","三门峡",32.3333333333333,83.3333333333333,8.66666666666667,0.600000000000001,50,93.6666666666667,32.3333333333333,955.666666666667,1.63333333333333,9.33333333333333,4.68673333333333,1.73472347597681e-18,0,0,0
"56","2020-03-17","三门峡",33,78,9,0.700000000000001,51.3333333333333,92.6666666666667,33,953.666666666667,2.4,11,4.7973,1.73472347597681e-18,0,0,0
"57","2020-03-18","三门峡",32.6666666666667,83.6666666666667,8.66666666666667,0.666666666666667,50,97,29,951.666666666667,2.96666666666667,13,4.89346666666666,1.73472347597681e-18,0,0,0
"58","2020-03-19","三门峡",30.6666666666667,111.666666666667,7.33333333333333,0.633333333333334,43.6666666666667,104.333333333333,25.3333333333333,949.666666666667,2.46666666666667,13.8333333333333,4.91123333333333,1.73472347597681e-18,0,0,0
"59","2020-03-20","三门峡",36,139.666666666667,8,0.600000000000001,41.6666666666667,112.666666666667,18.3333333333333,947.333333333333,2.46666666666667,14.8333333333333,4.95473333333333,1.73472347597681e-18,0,0,0
"60","2020-03-21","三门峡",48,156.666666666667,10,0.633333333333334,44.6666666666667,107.333333333333,24.3333333333333,944.666666666667,2.46666666666667,16,4.94823333333333,1.73472347597681e-18,0,0,0
"61","2020-03-22","三门峡",55.6666666666667,140.666666666667,11.3333333333333,0.666666666666667,42.6666666666667,113.333333333333,32.3333333333333,945,2.96666666666667,16.8333333333333,4.92193333333333,1.73472347597681e-18,0,0,0
"62","2020-03-23","三门峡",60,126,12.6666666666667,0.7,38,123,37.3333333333333,947,2.96666666666667,16.6666666666667,4.9237,1.73472347597681e-18,0,0,0
"63","2020-03-24","三门峡",55.6666666666667,108.666666666667,12,0.7,28.6666666666667,146.333333333333,43.6666666666667,949.666666666667,2.4,16.8333333333333,4.98383333333333,1.73472347597681e-18,0,0,0
"64","2020-03-25","三门峡",59,100,10.6666666666667,0.733333333333333,25.6666666666667,154,49,948.333333333333,2.96666666666667,17.5,5.08336666666666,1.73472347597681e-18,0,0,0
"65","2020-03-26","三门峡",51.6666666666667,108.666666666667,8,0.733333333333333,22.3333333333333,122.666666666667,66.6666666666667,944.666666666667,4.4,16.1666666666667,5.02323333333333,1.73472347597681e-18,0,0,0
"66","2020-03-27","三门峡",40,87.6666666666667,5,0.666666666666667,21,90,82.3333333333333,947.333333333333,4.96666666666667,12.6666666666667,4.94413333333333,1.73472347597681e-18,0,0,0
"67","2020-03-28","三门峡",26,73,4.66666666666667,0.566666666666667,23,71.3333333333333,95.6666666666667,952,3.9,9.16666666666667,4.85916666666666,1.73472347597681e-18,0,0,0
